0_1	+ 1
9_37m	- A^(-20) + 3*A^(-16) - 4*A^(-12) + 7*A^(-8) - 8*A^(-4) + 7 - 7*A^(4) + 5*A^(8) - 2*A^(12) + A^(16)
9_38	+ A^(8) - 3*A^(12) + 7*A^(16) - 8*A^(20) + 10*A^(24) - 10*A^(28) + 8*A^(32) - 6*A^(36) + 3*A^(40) - A^(44)
9_38m	- A^(-44) + 3*A^(-40) - 6*A^(-36) + 8*A^(-32) - 10*A^(-28) + 10*A^(-24) - 8*A^(-20) + 7*A^(-16) - 3*A^(-12) + A^(-8)
9_39|11n_11|11n_112	- A^(-32) + 3*A^(-28) - 6*A^(-24) + 8*A^(-20) - 9*A^(-16) + 10*A^(-12) - 8*A^(-8) + 6*A^(-4) - 3 + A^(4)
9_39m|11n_11m|11n_112m	+ A^(-4) - 3 + 6*A^(4) - 8*A^(8) + 10*A^(12) - 9*A^(16) + 8*A^(20) - 6*A^(24) + 3*A^(28) - A^(32)
9_40	- A^(-8) + 5*A^(-4) - 8 + 11*A^(4) - 13*A^(8) + 13*A^(12) - 11*A^(16) + 8*A^(20) - 4*A^(24) + A^(28)
9_40m	+ A^(-28) - 4*A^(-24) + 8*A^(-20) - 11*A^(-16) + 13*A^(-12) - 13*A^(-8) + 11*A^(-4) - 8 + 5*A^(4) - A^(8)
9_41|11n_4m|11n_21m|12n_24m	- A^(-12) + 3*A^(-8) - 5*A^(-4) + 8 - 8*A^(4) + 8*A^(8) - 7*A^(12) + 5*A^(16) - 3*A^(20) + A^(24)
9_41m|11n_4|11n_21|12n_24	+ A^(-24) - 3*A^(-20) + 5*A^(-16) - 7*A^(-12) + 8*A^(-8) - 8*A^(-4) + 8 - 5*A^(4) + 3*A^(8) - A^(12)
9_42	+ A^(-12) - A^(-8) + A^(-4) - 1 + A^(4) - A^(8) + A^(12)
9_43|11n_12	- A^(-28) + 2*A^(-24) - 2*A^(-20) + 2*A^(-16) - 2*A^(-12) + 2*A^(-8) - A^(-4) + 1
9_43m|11n_12m	+ 1 - A^(4) + 2*A^(8) - 2*A^(12) + 2*A^(16) - 2*A^(20) + 2*A^(24) - A^(28)
9_44|12n_119m	+ A^(-8) - 2*A^(-4) + 3 - 3*A^(4) + 3*A^(8) - 2*A^(12) + 2*A^(16) - A^(20)
9_44m|12n_119	- A^(-20) + 2*A^(-16) - 2*A^(-12) + 3*A^(-8) - 3*A^(-4) + 3 - 2*A^(4) + A^(8)
9_45	+ 2*A^(4) - 3*A^(8) + 4*A^(12) - 4*A^(16) + 4*A^(20) - 3*A^(24) + 2*A^(28) - A^(32)
9_45m	- A^(-32) + 2*A^(-28) - 3*A^(-24) + 4*A^(-20) - 4*A^(-16) + 4*A^(-12) - 3*A^(-8) + 2*A^(-4)
9_46	+ 2 - A^(4) + A^(8) - 2*A^(12) + A^(16) - A^(20) + A^(24)
9_46m	+ A^(-24) - A^(-20) + A^(-16) - 2*A^(-12) + A^(-8) - A^(-4) + 2
9_47	+ 2*A^(-20) - 4*A^(-16) + 4*A^(-12) - 5*A^(-8) + 5*A^(-4) - 3 + 3*A^(4) - A^(8)
9_47m	- A^(-8) + 3*A^(-4) - 3 + 5*A^(4) - 5*A^(8) + 4*A^(12) - 4*A^(16) + 2*A^(20)
