k0.1	1
k2.1m*k2.3m	- A^(6)*v - A^(8)*v + A^(10)*v + A^(12) + 2*A^(12)*v + A^(14) - A^(16)*v - A^(18)
k2.1*k2.3m	+ A^(-8)*v - 2*A^(-4)*v - A^(-2) - A^(-2)*v + v + A^(2) + A^(2)*v + A^(4)
k2.1m*k2.3	 + A^(-4) + A^(-2) + A^(-2)*v + v - A^(2) - A^(2)*v - 2*A^(4)*v + A^(8)*v
k2.1m*k2.5m	- A^(-16)*v + A^(-14) - A^(-14)*v^(2) + A^(-12)*v - A^(-10) + A^(-10)*v + A^(-10)*v^(2) - A^(-8) + A^(-8)*v^(2)
k2.1*k2.5	- A^(8) + A^(8)*v^(2) - A^(10) + A^(10)*v + A^(10)*v^(2) + A^(12)*v + A^(14) - A^(14)*v^(2) - A^(16)*v
k2.1*k2.5m	+ A^(-6) - A^(-6)*v^(2) - A^(-4)*v - A^(-2) + A^(-2)*v^(2) - 1 + v + v^(2) + A^(2)*v
k2.1m*k2.5	+ A^(-2)*v - 1 + v + v^(2) - A^(2) + A^(2)*v^(2) - A^(4)*v + A^(6) - A^(6)*v^(2)
k2.2*k3.1	- A^(-18) - A^(-16) - A^(-16)*v + A^(-12) + A^(-12)*v + A^(-10) + A^(-6) + A^(-4) + A^(-4)*v + A^(-2)
k2.2m*k3.1m	+ A^2 + A^4*v + A^4 + A^6 + A^10 + A^12*v + A^12 + A^16*v - A^16 - A^18
k2.3*k3.1	- A^(-24) - A^(-22)*v + A^(-20) + 2*A^(-18)*v - A^(-14)*v + A^(-12) + A^(-10)*v - A^(-6)*v
k2.3m*k3.1m	- A^(6)*v + A^(10)*v + A^(12) - A^(14)*v + 2*A^(18)*v + A^(20) - A^(22)*v - A^(24)
k2.3m*k3.1	+ A^(-14)*v - 2*A^(-10)*v - A^(-8) + A^(-6)*v + A^(-4) - A^(-2)*v + A^(2)*v + A^(4)
k2.3*k3.1m	A^(-4) + A^(-2)*v - A^2*v + A^4 + A^6*v - A^8 - 2*A^10*v + A^14*v
k2.5*k3.1	+ A^(-20) - A^(-16) - A^(-16)*v^(2) - A^(-14)*v + A^(-12)*v^(2) + A^(-10)*v - A^(-8) + A^(-4)*v^(2) + A^(-2)*v
k2.5m*k3.1m	+ A^(2)*v + A^(4)*v^(2) - A^(8) + A^(10)*v + A^(12)*v^(2) - A^(14)*v - A^(16) - A^(16)*v^(2) + A^(20)
k2.5*k3.1m	A^(-2)*v - 1 + v^(2) + A^(6)*v - A^(8) + A^(8)*v^(2) - A^(10)*v + A^(12) - A^(12)*v^(2)
k2.5m*k3.1	+ A^(-12) - A^(-12)*v^(2) - A^(-10)*v - A^(-8) + A^(-8)*v^(2) + A^(-6)*v - 1 + v^(2) + A^(2)*v
k2.6*k3.1	- A^(-18)*v - A^(-16)*v^(2) + A^(-14)*v + A^(-12) + A^(-12)*v^(2) - A^(-8) + A^(-6)*v + A^(-4)*v^(2) - 1
k2.6m*k3.1m	- 1 + A^(4)*v^(2) + A^(6)*v - A^(8) + A^(12) + A^(12)*v^(2) + A^(14)*v - A^(16)*v^(2) - A^(18)*v
k3.1*k2.5	- A^(-22)*v + A^(-20) - A^(-20)*v^(2) + A^(-18)*v - A^(-16) + A^(-16)*v^(2) + A^(-10)*v - A^(-8) + A^(-8)*v^(2)
k3.1m*k25m	- A^(8) + A^(8)*v^(2) + A^(10)*v - A^(16) + A^(16)*v^(2) + A^(18)*v + A^(20) - A^(20)*v^(2) - A^(22)*v
k3.1*k3.1	 A^(-32) - 2*A^(-28) + A^(-24) - 2*A^(-20) + 2*A^(-16) + A^(-8)
k3.1*k4.3m	+ A^(-38) - 2*A^(-34) + 2*A^(-30) - 3*A^(-26) - A^(-24) + 2*A^(-22) + A^(-20) - A^(-18) + A^(-14) + A^(-12)
k3.2m*k3.1	-1 - A^(-18) - A^(-16) + 2*A^(-14) + 2*A^(-12) - A^(-10) - 2*A^(-8) + A^(-6) + 2*A^(-4) - A^(-2) + A^4
k3.2m*k3.1	-1 + A^(-4) - A^(-2) + 2*A^4 + A^6 - 2*A^8 - A^10 + 2*A^12 + 2*A^14 - A^16 - A^18
k3.19m*k3.1	+ A^(-14) + A^(-14)*v + A^(-12) + A^(-12)*v - A^(-10)*v - A^(-8) - A^(-8)*v - A^(-6) - A^(-2) - A^(-2)*v - 1 - v - A^(2)
k3.19*k3.1m	-A^(-2) - v - 1 - A^2*v - A^2 - A^6 - A^8*v - A^10*v - A^12*v + A^12 + A^14*v + A^14
